product_name,brand,unit,product_type,price_per_unit,currency
2 in. x 6 in. x 14 ft. #2 Premium Grade SPF Dimensional Lumber,N/A,piece,Framing,16.98,USD
2 in. x 6 in. x 8 ft. SPF #2 Standard Grade Dimensional Lumber,N/A,piece,Framing,4.69,USD
2 in. x 12 in. x 16 ft. #1 Ground Contact Pressure-Treated Southern Yellow Pine Lumber,N/A,piece,Framing,43.68,USD
2 in. x 10 in. x 12 ft. #2 Premium Grade Fir Dimensional Lumber,N/A,piece,Framing,27.52,USD
2 in. x 8 in. x 12 ft. #2 Premium Grade Fir Dimensional Lumber,N/A,piece,Framing,16.76,USD
2 in. x 6 in. x 6 ft. Poplar S4S Board,Swaner Hardwood,piece,Interior,77.12,USD
2 in. x 10 in. x 12 ft. # 2 Premium Grade Fir Dimensional Lumber,N/A,piece,Framing,27.52,USD
2 in. x 6 in. x 6 ft. Maple S4S Board,Swaner Hardwood,piece,Interior,108.75,USD
2 in. x 6 in. x 6 ft. Walnut S4S Board,Swaner Hardwood,piece,Interior,150.74,USD
1 in. x 2 in. x 6 ft. Walnut S4S Board (2-Pack),Swaner Hardwood,package,Interior,47.7,USD
OSB 7/16 Application as 4ft. X 8 ft. Sheathing Panel,N/A,sheet,Framing,16.48,USD
23/32 in. T&G OSB Subfloor (Common: 23/32 in. x 4 ft. x 8 ft.; Actual: 0.703 in. x 47.875 in. x 95.875 in.),N/A,sheet,Framing,24.98,USD
Oriented Strand Board (Common: 19/32 in. x 4 ft. x 8 ft.; Actual: 0.578 in. x 47.75 in. x 95.75 in.),Blue Ribbon,sheet,Framing,21.48,USD
7/16 In. 4 Ft. x 8 Ft. Zip OSB Wall Sheathing,Huber,sheet,Framing,34.98,USD
15/32 in. x 4 ft. x 8 ft Sheathing Plywood ( Actual: 0.438 in. x 48 in. x 96 in.),N/A,sheet,Framing,25.48,USD
Hardboard Tempered Panel (Common: 1/8 in. 4 ft. x 8 ft.; Actual: 0.115 in. x 47.7 in. x 95.7 in.),N/A,sheet,Interior,14.25,USD
11/32 in. x 4 ft. x 8 ft. Rtd Southern Yellow Pine Plywood Sheathing,Plytanium,sheet,Framing,21.48,USD
LP Premium 23/32 in. Application as 4 ft. x 8 ft. Tongue and Groove OSB Sub-Floor,Legacy,sheet,Framing,33.98,USD
1/8 in. x 4 ft. x 8 ft. Eucalyptus White Hardboard,N/A,sheet,Interior,12.72,USD
19/32 in. x 4 ft. x 8 ft. Sheathing Plywood (Actual: 0.563 in. x 48 in. x 96 in.),N/A,sheet,Framing,30.98,USD
19/32 in. x 4 ft. x 8 ft. Rtd Sheathing Syp,Plytanium,sheet,Framing,27.48,USD
1/5 in. x 4 ft. x 8 ft. Hardwood Plywood Underlayment Specialty Panel,N/A,sheet,Interior,21.38,USD
7/16 in. x 2 ft. x 4 ft. Oriented Strand Board Project Panel,ProWood,sheet,Framing,5.5,USD
23/32 in. x 4 ft. x 8 ft. Dry Guard Oriented Strand Board,Georgia-Pacific,sheet,Framing,31.48,USD
23/32 in. x 4 ft. x 8 ft. Fir Sheathing Plywood (Actual: 0.688 in. x 48 in. x 96 in.),N/A,sheet,Framing,36.98,USD
15/32 in. x 4 ft. x 8 ft. Southern Pine Plywood,Plytanium,sheet,Framing,25.48,USD
23/32 in. x 4 ft. x 8 ft. RTD Sheathing Syp,N/A,sheet,Framing,35.48,USD
5/8 in. x 4 ft. x 8 ft. Zip System Oriented Strand Board Roof Sheathing,Huber,sheet,Roofing,53.98,USD
AdvanTech 23/32 in. x 4 ft. x 8 ft. Struct-1 Rated Oriented Strand Board Tongue and Groove Subfloor Panel,Huber,sheet,Framing,49.98,USD
3/4 in. x 4 ft. x 8 ft. PureBond Birch Plywood,Columbia Forest Products,sheet,Interior,74.98,USD
Advantech 23/32 in. x 4 ft. x 8 ft. T&G OSB Underlayment Panel,N/A,sheet,Framing,49.98,USD
3/4 in. x 2 ft. x 4 ft. Medium Density Fiberboard Project Panel,ProWood,sheet,Interior,29.49,USD
15/32 in. x 4 ft. x 4 ft. Sanded Plywood Project Panel,ProWood,sheet,Interior,33.04,USD
7/16 in. OSB Sheathing Panel (4 ft. x 8 ft.) and 23/32 in. Tongue and Groove OSB Sub-Floor (4 ft. x 8 ft.) Combo,N/A,package,Framing,50.46,USD
"3-1/4 in. x 9-Gauge 16-penny Vinyl Coated Smooth Shank Sinker Nails 5 lb. Box",Grip-Rite,box,Framing,26.0,USD
"3-1/4 in. x 9-Gauge 16-penny Vinyl Coated Smooth Shank Sinker Nails 30 lb. Bucket",Grip-Rite,bucket,Framing,63.81,USD
"3-1/4 in. x 9-Gauge 16-penny Vinyl Coated Smooth Shank Sinker Nails 1 lb. Box",Grip-Rite,box,Framing,7.37,USD
"3-1/4 in. x 0.131 in. 21° Plastic Collated Bright Coated Smooth Shank Round Head Framing Nails 1000 per Box",Grip-Rite,box,Framing,43.98,USD
"3-1/4 in. x 16D Vinyl Coated Sinker Non-Collated Framing Nails 30 lbs. (1700-Count)",Everbilt,box,Framing,63.81,USD
"3-1/2 in. x 8-Gauge 16-penny Bright Steel Smooth Shank Common Nails 5 lb. Box",Grip-Rite,box,Framing,21.84,USD
"16D 3 in. x .131 in. Collated 21-Degree Duplex Nails for M18 FUEL Duplex Nailer (2000-Count)",Milwaukee,box,Framing,105.0,USD
"3-1/2 in. x 10-Gauge16-penny Exterior Galvanized Smooth Shank Box Nails 1 lb. Box",Grip-Rite,box,Framing,6.7,USD
